HomeTeam,AwayTeam,FTHG,FTAG,FTR
Aston Villa,Southampton,2,0,H
Blackburn,West Brom,1,1,D
Bolton,Charlton,4,1,H
Man City,Fulham,1,1,D
Middlesbrough,Newcastle,2,2,D
Norwich,Crystal Palace,1,1,D
Portsmouth,Birmingham,1,1,D
Tottenham,Liverpool,1,1,D
Chelsea,Man United,1,0,H
Everton,Arsenal,1,4,A
Birmingham,Chelsea,0,1,A
Charlton,Portsmouth,2,1,H
Crystal Palace,Everton,1,3,A
Fulham,Bolton,2,0,H
Liverpool,Man City,2,1,H
Man United,Norwich,2,1,H
Newcastle,Tottenham,0,1,A
Southampton,Blackburn,3,2,H
Arsenal,Middlesbrough,5,3,H
West Brom,Aston Villa,1,1,D
Birmingham,Man City,1,0,H
Crystal Palace,Chelsea,0,2,A
Arsenal,Blackburn,3,0,H
Charlton,Aston Villa,3,0,H
Fulham,Middlesbrough,0,2,A
Newcastle,Norwich,2,2,D
Southampton,Bolton,1,2,A
West Brom,Tottenham,1,1,D
Aston Villa,Newcastle,4,2,H
Blackburn,Man United,1,1,D
Chelsea,Southampton,2,1,H
Everton,West Brom,2,1,H
Man City,Charlton,4,0,H
Middlesbrough,Crystal Palace,2,1,H
Norwich,Arsenal,1,4,A
Tottenham,Birmingham,1,0,H
Bolton,Liverpool,1,0,H
Man United,Everton,0,0,D
Portsmouth,Fulham,4,3,H
Aston Villa,Chelsea,0,0,D
Bolton,Man United,2,2,D
Fulham,Arsenal,0,3,A
Liverpool,West Brom,3,0,H
Man City,Everton,0,1,A
Middlesbrough,Birmingham,2,1,H
Newcastle,Blackburn,3,0,H
Portsmouth,Crystal Palace,3,1,H
Tottenham,Norwich,0,0,D
Charlton,Southampton,0,0,D
Arsenal,Bolton,2,2,D
Birmingham,Charlton,1,1,D
Blackburn,Portsmouth,1,0,H
Crystal Palace,Man City,1,2,A
Norwich,Aston Villa,0,0,D
West Brom,Fulham,1,1,D
Chelsea,Tottenham,0,0,D
Everton,Middlesbrough,1,0,H
Southampton,Newcastle,1,2,A
Man United,Liverpool,2,1,H
Aston Villa,Crystal Palace,1,1,D
Bolton,Birmingham,1,1,D
Fulham,Southampton,1,0,H
Liverpool,Norwich,3,0,H
Man City,Arsenal,0,1,A
Middlesbrough,Chelsea,0,1,A
Newcastle,West Brom,3,1,H
Tottenham,Man United,0,1,A
Portsmouth,Everton,0,1,A
Charlton,Blackburn,1,0,H
Arsenal,Charlton,4,0,H
Blackburn,Aston Villa,2,2,D
Everton,Tottenham,0,1,A
Norwich,Portsmouth,2,2,D
Southampton,Man City,0,0,D
West Brom,Bolton,2,1,H
Birmingham,Newcastle,2,2,D
Chelsea,Liverpool,1,0,H
Man United,Middlesbrough,1,1,D
Crystal Palace,Fulham,2,0,H
Arsenal,Aston Villa,3,1,H
Birmingham,Man United,0,0,D
Blackburn,Middlesbrough,0,4,A
Bolton,Crystal Palace,1,0,H
Everton,Southampton,1,0,H
Fulham,Liverpool,2,4,A
Man City,Chelsea,1,0,H
West Brom,Norwich,0,0,D
Charlton,Newcastle,1,1,D
Portsmouth,Tottenham,1,0,H
Aston Villa,Fulham,2,0,H
Chelsea,Blackburn,4,0,H
Crystal Palace,West Brom,3,0,H
Liverpool,Charlton,2,0,H
Norwich,Everton,2,3,A
Tottenham,Bolton,1,2,A
