HomeTeam,AwayTeam,FTHG,FTAG,FTR
West Ham,Reading,1,1,D
Wigan,Newcastle,1,0,H
Man City,Blackburn,2,2,D
Birmingham,Fulham,1,1,D
Chelsea,Newcastle,2,1,H
Everton,Arsenal,1,4,A
Portsmouth,Middlesbrough,0,1,A
Sunderland,Bolton,3,1,H
Tottenham,Reading,6,4,H
West Ham,Man United,2,1,H
Wigan,Aston Villa,1,2,A
Derby,Blackburn,1,2,A
Man City,Liverpool,0,0,D
Arsenal,West Ham,2,0,H
Aston Villa,Tottenham,2,1,H
Fulham,Chelsea,1,2,A
Man United,Birmingham,1,0,H
Middlesbrough,Everton,0,2,A
Reading,Portsmouth,0,2,A
Blackburn,Sunderland,1,0,H
Bolton,Derby,1,0,H
Liverpool,Wigan,1,1,D
Newcastle,Man City,0,2,A
Arsenal,Birmingham,1,1,D
Aston Villa,Reading,3,1,H
Chelsea,Tottenham,2,0,H
Derby,Wigan,0,1,A
Everton,Man City,1,0,H
Man United,Newcastle,6,0,H
Middlesbrough,Liverpool,1,1,D
West Ham,Fulham,2,1,H
Bolton,Blackburn,1,2,A
Sunderland,Portsmouth,2,0,H
Birmingham,Chelsea,0,1,A
Blackburn,Middlesbrough,1,1,D
Fulham,Arsenal,0,3,A
Newcastle,Bolton,0,0,D
Portsmouth,Derby,3,1,H
Reading,Man United,0,2,A
Tottenham,Sunderland,2,0,H
Man City,West Ham,1,1,D
Wigan,Everton,1,2,A
Liverpool,Aston Villa,2,2,D
Aston Villa,Blackburn,1,1,D
Arsenal,Newcastle,3,0,H
Bolton,Fulham,0,0,D
Middlesbrough,Wigan,1,0,H
Sunderland,Birmingham,2,0,H
Chelsea,Reading,1,0,H
Derby,Man City,1,1,D
Everton,Tottenham,0,0,D
Man United,Portsmouth,2,0,H
West Ham,Liverpool,1,0,H
Birmingham,Derby,1,1,D
Blackburn,Everton,0,0,D
Liverpool,Sunderland,3,0,H
Man City,Arsenal,1,3,A
Portsmouth,Chelsea,1,1,D
Reading,Bolton,0,2,A
Tottenham,Man United,1,1,D
Wigan,West Ham,1,0,H
Fulham,Aston Villa,2,1,H
Newcastle,Middlesbrough,1,1,D
Aston Villa,Newcastle,4,1,H
Bolton,Portsmouth,0,1,A
Derby,Tottenham,0,3,A
Everton,Reading,1,0,H
Middlesbrough,Fulham,1,0,H
Sunderland,Wigan,2,0,H
West Ham,Birmingham,1,1,D
Chelsea,Liverpool,0,0,D
Man United,Man City,1,2,A
Arsenal,Blackburn,2,0,H
Birmingham,Arsenal,2,2,D
Fulham,West Ham,0,1,A
Liverpool,Middlesbrough,3,2,H
Newcastle,Man United,1,5,A
Portsmouth,Sunderland,1,0,H
Wigan,Derby,2,0,H
Blackburn,Bolton,4,1,H
Reading,Aston Villa,1,2,A
Man City,Everton,0,2,A
Arsenal,Aston Villa,1,1,D
Birmingham,Tottenham,4,1,H
Derby,Sunderland,0,0,D
Fulham,Man United,0,3,A
Man City,Wigan,0,0,D
Middlesbrough,Reading,0,1,A
Newcastle,Blackburn,0,1,A
West Ham,Chelsea,0,4,A
Bolton,Liverpool,1,3,A
Everton,Portsmouth,3,1,H
Liverpool,West Ham,4,0,H
Blackburn,Fulham,1,1,D
Liverpool,Newcastle,3,0,H
Reading,Man City,2,0,H
Sunderland,Everton,0,1,A
Tottenham,West Ham,4,0,H
Wigan,Arsenal,0,0,D
Aston Villa,Middlesbrough,1,1,D
Chelsea,Derby,6,1,H
Portsmouth,Birmingham,4,2,H
Arsenal,Middlesbrough,1,1,D
Derby,Man United,0,1,A
Liverpool,Reading,2,1,H
Portsmouth,Aston Villa,2,0,H
Sunderland,Chelsea,0,1,A
West Ham,Blackburn,2,1,H
Fulham,Everton,1,0,H
Man City,Tottenham,2,1,H
Wigan,Bolton,1,0,H
Birmingham,Newcastle,1,1,D
Man United,Bolton,2,0,H
Tottenham,Chelsea,4,4,D
Aston Villa,Sunderland,0,1,A
Blackburn,Wigan,3,1,H
Bolton,Man City,0,0,D
Everton,West Ham,1,1,D
Middlesbrough,Derby,1,0,H
Newcastle,Fulham,2,0,H
Reading,Birmingham,2,1,H
Tottenham,Portsmouth,2,0,H
Chelsea,Arsenal,2,1,H
Man United,Liverpool,3,0,H
Birmingham,Man City,3,1,H
Bolton,Arsenal,2,3,A
Derby,Fulham,2,2,D
Man United,Aston Villa,4,0,H
Portsmouth,Wigan,2,0,H
Reading,Blackburn,0,0,D
Sunderland,West Ham,2,1,H
Chelsea,Middlesbrough,1,0,H
Liverpool,Everton,1,0,H
Tottenham,Newcastle,1,4,A
Arsenal,Liverpool,1,1,D
Aston Villa,Bolton,4,0,H
Blackburn,Tottenham,1,1,D
Fulham,Sunderland,1,3,A
Man City,Chelsea,0,2,A
Newcastle,Reading,3,0,H
Wigan,Birmingham,2,0,H
Everton,Derby,1,0,H
Middlesbrough,Man United,2,2,D
West Ham,Portsmouth,0,1,A
Birmingham,Everton,1,1,D
Bolton,West Ham,1,0,H
Derby,Aston Villa,0,6,A
Portsmouth,Newcastle,0,0,D
Reading,Fulham,0,2,A
Sunderland,Man City,1,2,A
Tottenham,Middlesbrough,1,1,D
Liverpool,Blackburn,3,1,H
Man United,Arsenal,2,1,H
Chelsea,Wigan,1,1,D
Everton,Chelsea,0,1,A
Arsenal,Reading,2,0,H
Blackburn,Man United,1,1,D
Fulham,Liverpool,0,2,A
Middlesbrough,Bolton,0,1,A
West Ham,Derby,2,1,H
Wigan,Tottenham,1,1,D
Aston Villa,Birmingham,5,1,H
Man City,Portsmouth,3,1,H
Newcastle,Sunderland,2,0,H
Birmingham,Liverpool,2,2,D
Chelsea,Man United,2,1,H
Man City,Fulham,2,3,A
Sunderland,Middlesbrough,3,2,H
Tottenham,Bolton,1,1,D
West Ham,Newcastle,2,2,D
Wigan,Reading,0,0,D
Everton,Aston Villa,2,2,D
Portsmouth,Blackburn,0,1,A
Derby,Arsenal,2,6,A
Aston Villa,Wigan,0,2,A
Blackburn,Derby,3,1,H
Bolton,Sunderland,2,0,H
Fulham,Birmingham,2,0,H
Man United,West Ham,4,1,H
Middlesbrough,Portsmouth,2,0,H
Reading,Tottenham,0,1,A
Arsenal,Everton,1,0,H
Liverpool,Man City,1,0,H
Newcastle,Chelsea,0,2,A
Birmingham,Blackburn,4,1,H
Chelsea,Bolton,1,1,D
Derby,Reading,0,4,A
Everton,Newcastle,3,1,H
Middlesbrough,Man City,8,1,H
Portsmouth,Fulham,0,1,A
Sunderland,Arsenal,0,1,A
Tottenham,Liverpool,0,2,A
West Ham,Aston Villa,2,2,D
Wigan,Man United,0,2,A
