HomeTeam,AwayTeam,FTHG,FTAG,FTR
Arsenal,Sunderland,0,0,D
Fulham,Norwich,5,0,H
Newcastle,Tottenham,2,1,H
QPR,Swansea,0,5,A
Reading,Stoke,1,1,D
West Brom,Liverpool,3,0,H
West Ham,Aston Villa,1,0,H
Man City,Southampton,3,2,H
Wigan,Chelsea,0,2,A
Everton,Man United,1,0,H
Chelsea,Reading,4,2,H
Aston Villa,Everton,1,3,A
Chelsea,Newcastle,2,0,H
Man United,Fulham,3,2,H
Norwich,QPR,1,1,D
Southampton,Wigan,0,2,A
Swansea,West Ham,3,0,H
Tottenham,West Brom,1,1,D
Liverpool,Man City,2,2,D
Stoke,Arsenal,0,0,D
Man City,QPR,3,1,H
Swansea,Sunderland,2,2,D
Tottenham,Norwich,1,1,D
West Brom,Everton,2,0,H
West Ham,Fulham,3,0,H
Wigan,Stoke,2,2,D
Liverpool,Arsenal,0,2,A
Newcastle,Aston Villa,1,1,D
Southampton,Man United,2,3,A
Arsenal,Southampton,6,1,H
Aston Villa,Swansea,2,0,H
Fulham,West Brom,3,0,H
Man United,Wigan,4,0,H
Norwich,West Ham,0,0,D
QPR,Chelsea,0,0,D
Stoke,Man City,1,1,D
Sunderland,Liverpool,1,1,D
Reading,Tottenham,1,3,A
Everton,Newcastle,2,2,D
Chelsea,Stoke,1,0,H
Southampton,Aston Villa,4,1,H
Swansea,Everton,0,3,A
West Brom,Reading,1,0,H
West Ham,Sunderland,1,1,D
Wigan,Fulham,1,2,A
Liverpool,Man United,1,2,A
Man City,Arsenal,1,1,D
Newcastle,Norwich,1,0,H
Tottenham,QPR,2,1,H
Arsenal,Chelsea,1,2,A
Everton,Southampton,3,1,H
Fulham,Man City,1,2,A
Man United,Tottenham,2,3,A
Norwich,Liverpool,2,5,A
Reading,Newcastle,2,2,D
Stoke,Swansea,2,0,H
Sunderland,Wigan,1,0,H
Aston Villa,West Brom,1,1,D
QPR,West Ham,1,2,A
Chelsea,Norwich,4,1,H
Man City,Sunderland,3,0,H
Swansea,Reading,2,2,D
West Brom,QPR,3,2,H
West Ham,Arsenal,1,3,A
Wigan,Everton,2,2,D
Liverpool,Stoke,0,0,D
Newcastle,Man United,0,3,A
Southampton,Fulham,2,2,D
Tottenham,Aston Villa,2,0,H
Fulham,Aston Villa,1,0,H
Liverpool,Reading,1,0,H
Man United,Stoke,4,2,H
Norwich,Arsenal,1,0,H
Swansea,Wigan,2,1,H
Tottenham,Chelsea,2,4,A
West Brom,Man City,1,2,A
West Ham,Southampton,4,1,H
QPR,Everton,1,1,D
Sunderland,Newcastle,1,1,D
Arsenal,QPR,1,0,H
Aston Villa,Norwich,1,1,D
Man City,Swansea,1,0,H
Reading,Fulham,3,3,D
Stoke,Sunderland,0,0,D
Wigan,West Ham,2,1,H
Chelsea,Man United,2,3,A
Everton,Liverpool,2,2,D
