HomeTeam,AwayTeam,FTHG,FTAG,FTR
Blackburn,Sunderland,0,0,D
Charlton,Chelsea,2,3,A
Everton,Tottenham,2,2,D
Fulham,Bolton,4,1,H
Leeds,Man City,3,0,H
Man United,West Brom,1,0,H
Southampton,Middlesbrough,0,0,D
Arsenal,Birmingham,2,0,H
Aston Villa,Liverpool,0,1,A
Newcastle,West Ham,4,0,H
Chelsea,Man United,2,2,D
Birmingham,Blackburn,0,1,A
Bolton,Charlton,1,2,A
Liverpool,Southampton,3,0,H
Man City,Newcastle,1,0,H
Middlesbrough,Fulham,2,2,D
Sunderland,Everton,0,1,A
Tottenham,Aston Villa,1,0,H
West Brom,Leeds,1,3,A
West Ham,Arsenal,2,2,D
Arsenal,West Brom,5,2,H
Charlton,Tottenham,0,1,A
Aston Villa,Man City,1,0,H
Blackburn,Liverpool,2,2,D
Everton,Birmingham,1,1,D
Leeds,Sunderland,0,1,A
Southampton,Chelsea,1,1,D
Birmingham,Leeds,2,1,H
Man City,Everton,3,1,H
Middlesbrough,Blackburn,1,0,H
Sunderland,Man United,1,1,D
Tottenham,Southampton,2,1,H
West Brom,Fulham,1,0,H
West Ham,Charlton,0,2,A
Bolton,Aston Villa,1,0,H
Chelsea,Arsenal,1,1,D
Liverpool,Newcastle,2,2,D
Man United,Middlesbrough,1,0,H
Arsenal,Man City,2,1,H
Middlesbrough,Sunderland,3,0,H
Aston Villa,Charlton,2,0,H
Blackburn,Chelsea,2,3,A
Fulham,Tottenham,3,2,H
Liverpool,Birmingham,2,2,D
Man United,Bolton,0,1,A
Newcastle,Leeds,0,2,A
Southampton,Everton,1,0,H
West Ham,West Brom,0,1,A
Bolton,Liverpool,2,3,A
Charlton,Arsenal,0,3,A
Chelsea,Newcastle,3,0,H
Everton,Middlesbrough,2,1,H
Leeds,Man United,1,0,H
Sunderland,Fulham,0,3,A
West Brom,Southampton,1,0,H
Man City,Blackburn,2,2,D
Tottenham,West Ham,3,2,H
Birmingham,Aston Villa,3,0,H
Arsenal,Bolton,2,1,H
Liverpool,West Brom,2,0,H
Man United,Tottenham,1,0,H
Middlesbrough,Birmingham,1,0,H
Newcastle,Sunderland,2,0,H
Southampton,Charlton,0,0,D
West Ham,Man City,0,0,D
Aston Villa,Everton,3,2,H
Blackburn,Leeds,1,0,H
Fulham,Chelsea,0,0,D
Birmingham,Newcastle,0,2,A
Bolton,Southampton,1,1,D
Charlton,Man United,1,3,A
Chelsea,West Ham,2,3,A
Everton,Fulham,2,0,H
Leeds,Arsenal,1,4,A
Man City,Liverpool,0,3,A
Sunderland,Aston Villa,1,0,H
Tottenham,Middlesbrough,0,3,A
West Brom,Blackburn,0,2,A
Middlesbrough,Bolton,2,0,H
Newcastle,West Brom,2,1,H
Southampton,Man City,2,0,H
West Ham,Birmingham,1,2,A
Arsenal,Sunderland,3,1,H
Aston Villa,Leeds,0,0,D
Blackburn,Tottenham,1,2,A
Fulham,Charlton,1,0,H
Liverpool,Chelsea,1,0,H
Man United,Everton,3,0,H
Blackburn,Newcastle,5,2,H
Everton,Arsenal,2,1,H
Fulham,Man United,1,1,D
Leeds,Liverpool,0,1,A
Man City,Chelsea,0,3,A
Sunderland,West Ham,0,1,A
West Brom,Birmingham,1,1,D
Charlton,Middlesbrough,1,0,H
Tottenham,Bolton,3,1,H
Aston Villa,Southampton,0,1,A
Fulham,West Ham,0,1,A
Arsenal,Blackburn,1,2,A
Birmingham,Man City,0,2,A
Chelsea,West Brom,2,0,H
Liverpool,Tottenham,2,1,H
Man United,Aston Villa,1,1,D
Middlesbrough,Leeds,2,2,D
Newcastle,Charlton,2,1,H
Southampton,Fulham,4,2,H
West Ham,Everton,0,1,A
Bolton,Sunderland,1,1,D
Birmingham,Bolton,3,1,H
Liverpool,West Ham,2,0,H
Man United,Southampton,2,1,H
West Brom,Man City,1,2,A
Blackburn,Aston Villa,0,0,D
Charlton,Sunderland,1,1,D
Fulham,Arsenal,0,1,A
Leeds,Everton,0,1,A
