HomeTeam,AwayTeam,FTHG,FTAG,FTR
Arsenal,Crystal Palace,2,1,H
Leicester,Everton,2,2,D
Man United,Swansea,1,2,A
QPR,Hull,0,1,A
Stoke,Aston Villa,0,1,A
West Brom,Sunderland,2,2,D
West Ham,Tottenham,0,1,A
Liverpool,Southampton,2,1,H
Newcastle,Man City,0,2,A
Burnley,Chelsea,1,3,A
Aston Villa,Newcastle,0,0,D
Chelsea,Leicester,2,0,H
Crystal Palace,West Ham,1,3,A
Everton,Arsenal,2,2,D
Southampton,West Brom,0,0,D
Swansea,Burnley,1,0,H
Hull,Stoke,1,1,D
Sunderland,Man United,1,1,D
Tottenham,QPR,4,0,H
Man City,Liverpool,3,1,H
Burnley,Man United,0,0,D
Everton,Chelsea,3,6,A
Man City,Stoke,0,1,A
Newcastle,Crystal Palace,3,3,D
QPR,Sunderland,1,0,H
Swansea,West Brom,3,0,H
West Ham,Southampton,1,3,A
Aston Villa,Hull,2,1,H
Leicester,Arsenal,1,1,D
Tottenham,Liverpool,0,3,A
Arsenal,Man City,2,2,D
Chelsea,Swansea,4,2,H
Crystal Palace,Burnley,0,0,D
Liverpool,Aston Villa,0,1,A
Southampton,Newcastle,4,0,H
Stoke,Leicester,0,1,A
Sunderland,Tottenham,2,2,D
West Brom,Everton,0,2,A
Man United,QPR,4,0,H
Hull,West Ham,2,2,D
Aston Villa,Arsenal,0,3,A
Burnley,Sunderland,0,0,D
Newcastle,Hull,2,2,D
QPR,Stoke,2,2,D
Swansea,Southampton,0,1,A
West Ham,Liverpool,3,1,H
Everton,Crystal Palace,2,3,A
Leicester,Man United,5,3,H
Man City,Chelsea,1,1,D
Tottenham,West Brom,0,1,A
Arsenal,Tottenham,1,1,D
Chelsea,Aston Villa,3,0,H
Crystal Palace,Leicester,2,0,H
Hull,Man City,2,4,A
Liverpool,Everton,1,1,D
Man United,West Ham,2,1,H
Southampton,QPR,2,1,H
Sunderland,Swansea,0,0,D
West Brom,Burnley,4,0,H
Stoke,Newcastle,1,0,H
Aston Villa,Man City,0,2,A
Hull,Crystal Palace,2,0,H
Leicester,Burnley,2,2,D
Liverpool,West Brom,2,1,H
Sunderland,Stoke,3,1,H
Swansea,Newcastle,2,2,D
Chelsea,Arsenal,2,0,H
Man United,Everton,2,1,H
Tottenham,Southampton,1,0,H
West Ham,QPR,2,0,H
Arsenal,Hull,2,2,D
Burnley,West Ham,1,3,A
Crystal Palace,Chelsea,1,2,A
Everton,Aston Villa,3,0,H
Man City,Tottenham,4,1,H
Newcastle,Leicester,1,0,H
Southampton,Sunderland,8,0,H
QPR,Liverpool,2,3,A
Stoke,Swansea,2,1,H
West Brom,Man United,2,2,D
Liverpool,Hull,0,0,D
Southampton,Stoke,1,0,H
Sunderland,Arsenal,0,2,A
Swansea,Leicester,2,0,H
West Brom,Crystal Palace,2,2,D
West Ham,Man City,2,1,H
Burnley,Everton,1,3,A
Man United,Chelsea,1,1,D
Tottenham,Newcastle,1,2,A
QPR,Aston Villa,2,0,H
Arsenal,Burnley,3,0,H
Chelsea,QPR,2,1,H
Everton,Swansea,0,0,D
Hull,Southampton,0,1,A
Leicester,West Brom,0,1,A
Newcastle,Liverpool,1,0,H
Stoke,West Ham,2,2,D
Aston Villa,Tottenham,1,2,A
Man City,Man United,1,0,H
Crystal Palace,Sunderland,1,3,A
Burnley,Hull,1,0,H
Liverpool,Chelsea,1,2,A
Man United,Crystal Palace,1,0,H
QPR,Man City,2,2,D
Southampton,Leicester,2,0,H
West Ham,Aston Villa,0,0,D
Sunderland,Everton,1,1,D
Swansea,Arsenal,2,1,H
Tottenham,Stoke,1,2,A
West Brom,Newcastle,0,2,A
Arsenal,Man United,1,2,A
Chelsea,West Brom,2,0,H
Everton,West Ham,2,1,H
Leicester,Sunderland,0,0,D
Man City,Swansea,2,1,H
Newcastle,QPR,1,0,H
Stoke,Burnley,1,2,A
Crystal Palace,Liverpool,3,1,H
Hull,Tottenham,1,2,A
Aston Villa,Southampton,1,1,D
Burnley,Aston Villa,1,1,D
Liverpool,Stoke,1,0,H
Man United,Hull,3,0,H
QPR,Leicester,3,2,H
Sunderland,Chelsea,0,0,D
Swansea,Crystal Palace,1,1,D
West Brom,Arsenal,0,1,A
West Ham,Newcastle,1,0,H
Southampton,Man City,0,3,A
Tottenham,Everton,2,1,H
Burnley,Newcastle,1,1,D
Crystal Palace,Aston Villa,0,1,A
Leicester,Liverpool,1,3,A
Man United,Stoke,2,1,H
Swansea,QPR,2,0,H
West Brom,West Ham,1,2,A
Arsenal,Southampton,1,0,H
Chelsea,Tottenham,3,0,H
Everton,Hull,1,1,D
Sunderland,Man City,1,4,A
Hull,West Brom,0,0,D
Liverpool,Sunderland,0,0,D
Man City,Everton,1,0,H
Newcastle,Chelsea,2,1,H
QPR,Burnley,2,0,H
Stoke,Arsenal,3,2,H
Tottenham,Crystal Palace,0,0,D
Aston Villa,Leicester,2,1,H
West Ham,Swansea,3,1,H
Southampton,Man United,1,2,A
Arsenal,Newcastle,4,1,H
Burnley,Southampton,1,0,H
Chelsea,Hull,2,0,H
Crystal Palace,Stoke,1,1,D
Leicester,Man City,0,1,A
Sunderland,West Ham,1,1,D
West Brom,Aston Villa,1,0,H
Man United,Liverpool,3,0,H
Swansea,Tottenham,1,2,A
Everton,QPR,3,1,H
Aston Villa,Man United,1,1,D
Hull,Swansea,0,1,A
Man City,Crystal Palace,3,0,H
QPR,West Brom,3,2,H
Southampton,Everton,3,0,H
Tottenham,Burnley,2,1,H
West Ham,Leicester,2,0,H
Liverpool,Arsenal,2,2,D
Newcastle,Sunderland,0,1,A
Stoke,Chelsea,0,2,A
Arsenal,QPR,2,1,H
Burnley,Liverpool,0,1,A
Chelsea,West Ham,2,0,H
Crystal Palace,Southampton,1,3,A
Everton,Stoke,0,1,A
Leicester,Tottenham,1,2,A
Man United,Newcastle,3,1,H
Sunderland,Hull,1,3,A
Swansea,Aston Villa,1,0,H
West Brom,Man City,1,3,A
Aston Villa,Sunderland,0,0,D
Hull,Leicester,0,1,A
Man City,Burnley,2,2,D
Newcastle,Everton,3,2,H
QPR,Crystal Palace,0,0,D
Southampton,Chelsea,1,1,D
Stoke,West Brom,2,0,H
Tottenham,Man United,0,0,D
West Ham,Arsenal,1,2,A
Liverpool,Swansea,4,1,H
Aston Villa,Crystal Palace,0,0,D
Hull,Everton,2,0,H
Liverpool,Leicester,2,2,D
Man City,Sunderland,3,2,H
Newcastle,Burnley,3,3,D
QPR,Swansea,1,1,D
Southampton,Arsenal,2,0,H
Stoke,Man United,1,1,D
Tottenham,Chelsea,5,3,H
West Ham,West Brom,1,1,D
Burnley,QPR,2,1,H
Chelsea,Newcastle,2,0,H
Crystal Palace,Tottenham,2,1,H
Everton,Man City,1,1,D
Leicester,Aston Villa,1,0,H
Sunderland,Liverpool,0,1,A
Swansea,West Ham,1,1,D
West Brom,Hull,1,0,H
Arsenal,Stoke,3,0,H
Man United,Southampton,0,1,A
Aston Villa,Liverpool,0,2,A
Burnley,Crystal Palace,2,3,A
Leicester,Stoke,0,1,A
Newcastle,Southampton,1,2,A
QPR,Man United,0,2,A
Swansea,Chelsea,0,5,A
Tottenham,Sunderland,2,1,H
Man City,Arsenal,0,2,A
West Ham,Hull,3,0,H
Everton,West Brom,0,0,D
Chelsea,Man City,1,1,D
Crystal Palace,Everton,0,1,A
Hull,Newcastle,0,3,A
Liverpool,West Ham,2,0,H
Man United,Leicester,3,1,H
Stoke,QPR,3,1,H
Sunderland,Burnley,2,0,H
West Brom,Tottenham,0,3,A
Arsenal,Aston Villa,5,0,H
Southampton,Swansea,0,1,A
Aston Villa,Chelsea,1,2,A
Everton,Liverpool,0,0,D
Leicester,Crystal Palace,0,1,A
Man City,Hull,1,1,D
QPR,Southampton,0,1,A
Swansea,Sunderland,1,1,D
Tottenham,Arsenal,2,1,H
Burnley,West Brom,2,2,D
Newcastle,Stoke,1,1,D
West Ham,Man United,1,1,D
Arsenal,Leicester,2,1,H
Hull,Aston Villa,2,0,H
Liverpool,Tottenham,3,2,H
Sunderland,QPR,0,2,A
Chelsea,Everton,1,0,H
Crystal Palace,Newcastle,1,1,D
Man United,Burnley,3,1,H
Southampton,West Ham,0,0,D
Stoke,Man City,1,4,A
West Brom,Swansea,2,0,H
Aston Villa,Stoke,1,2,A
Chelsea,Burnley,1,1,D
Crystal Palace,Arsenal,1,2,A
Hull,QPR,2,1,H
Man City,Newcastle,5,0,H
Sunderland,West Brom,0,0,D
Swansea,Man United,2,1,H
Everton,Leicester,2,2,D
Southampton,Liverpool,0,2,A
Tottenham,West Ham,2,2,D
Burnley,Swansea,0,1,A
Man United,Sunderland,2,0,H
Newcastle,Aston Villa,1,0,H
Stoke,Hull,1,0,H
West Brom,Southampton,1,0,H
West Ham,Crystal Palace,1,3,A
Arsenal,Everton,2,0,H
Liverpool,Man City,2,1,H
Aston Villa,West Brom,2,1,H
Hull,Sunderland,1,1,D
Southampton,Crystal Palace,1,0,H
Liverpool,Burnley,2,0,H
Man City,Leicester,2,0,H
Newcastle,Man United,0,1,A
QPR,Arsenal,1,2,A
