HomeTeam,AwayTeam,FTHG,FTAG,FTR
Aston Villa,Wigan,0,2,A
Blackburn,Man City,0,2,A
Bolton,Sunderland,0,1,A
Chelsea,Hull,2,1,H
Everton,Arsenal,1,6,A
Portsmouth,Fulham,0,1,A
Stoke,Burnley,2,0,H
Wolves,West Ham,0,2,A
Man United,Birmingham,1,0,H
Tottenham,Liverpool,2,1,H
Sunderland,Chelsea,1,3,A
Wigan,Wolves,0,1,A
Birmingham,Portsmouth,1,0,H
Burnley,Man United,1,0,H
Hull,Tottenham,1,5,A
Liverpool,Stoke,4,0,H
Arsenal,Portsmouth,4,1,H
Birmingham,Stoke,0,0,D
Hull,Bolton,1,0,H
Man City,Wolves,1,0,H
Sunderland,Blackburn,2,1,H
Wigan,Man United,0,5,A
Burnley,Everton,1,0,H
Fulham,Chelsea,0,2,A
West Ham,Tottenham,1,2,A
Liverpool,Aston Villa,1,3,A
Blackburn,West Ham,0,0,D
Bolton,Liverpool,2,3,A
Chelsea,Burnley,3,0,H
Man United,Arsenal,2,1,H
Stoke,Sunderland,1,0,H
Tottenham,Birmingham,2,1,H
Wolves,Hull,1,1,D
Aston Villa,Fulham,2,0,H
Everton,Wigan,2,1,H
Portsmouth,Man City,0,1,A
Blackburn,Wolves,3,1,H
Liverpool,Burnley,4,0,H
Man City,Arsenal,4,2,H
Portsmouth,Bolton,2,3,A
Stoke,Chelsea,1,2,A
Sunderland,Hull,4,1,H
Tottenham,Man United,1,3,A
Wigan,West Ham,1,0,H
Birmingham,Aston Villa,0,1,A
Fulham,Everton,2,1,H
Arsenal,Wigan,4,0,H
Aston Villa,Portsmouth,2,0,H
Bolton,Stoke,1,1,D
Burnley,Sunderland,3,1,H
Hull,Birmingham,0,1,A
West Ham,Liverpool,2,3,A
Chelsea,Tottenham,3,0,H
Everton,Blackburn,3,0,H
Man United,Man City,4,3,H
Wolves,Fulham,2,1,H
Birmingham,Bolton,1,2,A
Blackburn,Aston Villa,2,1,H
Fulham,Arsenal,0,1,A
Liverpool,Hull,6,1,H
Portsmouth,Everton,0,1,A
Stoke,Man United,0,2,A
Tottenham,Burnley,5,0,H
Wigan,Chelsea,3,1,H
Sunderland,Wolves,5,2,H
Man City,West Ham,3,1,H
Bolton,Tottenham,2,2,D
