HomeTeam,AwayTeam,FTHG,FTAG,FTR
Arsenal,Aston Villa,1,1,D
Bolton,Tottenham,2,0,H
Everton,Watford,2,1,H
Newcastle,Wigan,2,1,H
Portsmouth,Blackburn,3,0,H
Reading,Middlesbrough,3,2,H
Sheffield United,Liverpool,1,1,D
West Ham,Charlton,3,1,H
Chelsea,Man City,3,0,H
Man United,Fulham,5,1,H
Tottenham,Sheffield United,2,0,H
Watford,West Ham,1,1,D
Aston Villa,Reading,2,1,H
Blackburn,Everton,1,1,D
Charlton,Man United,0,3,A
Fulham,Bolton,1,1,D
Man City,Portsmouth,0,0,D
Middlesbrough,Chelsea,2,1,H
Charlton,Bolton,2,0,H
Fulham,Sheffield United,1,0,H
Liverpool,West Ham,2,1,H
Man City,Arsenal,1,0,H
Tottenham,Everton,0,2,A
Watford,Man United,1,2,A
Wigan,Reading,1,0,H
Aston Villa,Newcastle,2,0,H
Blackburn,Chelsea,0,2,A
Middlesbrough,Portsmouth,0,4,A
Arsenal,Middlesbrough,1,1,D
Bolton,Watford,1,0,H
Chelsea,Charlton,2,1,H
Everton,Liverpool,3,0,H
Man United,Tottenham,1,0,H
Newcastle,Fulham,1,2,A
Portsmouth,Wigan,1,0,H
Sheffield United,Blackburn,0,0,D
West Ham,Aston Villa,1,1,D
Reading,Man City,1,0,H
Bolton,Middlesbrough,0,0,D
Charlton,Portsmouth,0,1,A
Everton,Wigan,2,2,D
Sheffield United,Reading,1,2,A
Watford,Aston Villa,0,0,D
Blackburn,Man City,4,2,H
Chelsea,Liverpool,1,0,H
Man United,Arsenal,0,1,A
Tottenham,Fulham,0,0,D
West Ham,Newcastle,0,2,A
Liverpool,Newcastle,2,0,H
Arsenal,Sheffield United,3,0,H
Aston Villa,Charlton,2,0,H
Fulham,Chelsea,0,2,A
Liverpool,Tottenham,3,0,H
Man City,West Ham,2,0,H
Middlesbrough,Blackburn,0,1,A
Reading,Man United,1,1,D
Wigan,Watford,1,1,D
Newcastle,Everton,1,1,D
Portsmouth,Bolton,0,1,A
Bolton,Liverpool,2,0,H
Charlton,Arsenal,1,2,A
Chelsea,Aston Villa,1,1,D
Everton,Man City,1,1,D
Sheffield United,Middlesbrough,2,1,H
Blackburn,Wigan,2,1,H
Man United,Newcastle,2,0,H
Tottenham,Portsmouth,2,1,H
West Ham,Reading,0,1,A
Watford,Fulham,3,3,D
Arsenal,Watford,3,0,H
Aston Villa,Tottenham,1,1,D
Liverpool,Blackburn,1,1,D
Man City,Sheffield United,0,0,D
Middlesbrough,Everton,2,1,H
Portsmouth,West Ham,2,0,H
Reading,Chelsea,0,1,A
Wigan,Man United,1,3,A
Newcastle,Bolton,1,2,A
Fulham,Charlton,2,1,H
Aston Villa,Fulham,1,1,D
Charlton,Watford,0,0,D
Chelsea,Portsmouth,2,1,H
Everton,Sheffield United,2,0,H
Wigan,Man City,4,0,H
Blackburn,Bolton,0,1,A
Man United,Liverpool,2,0,H
Middlesbrough,Newcastle,1,0,H
Reading,Arsenal,0,4,A
Tottenham,West Ham,1,0,H
Arsenal,Everton,1,1,D
Bolton,Man United,0,4,A
Fulham,Wigan,0,1,A
Liverpool,Aston Villa,3,1,H
Newcastle,Charlton,0,0,D
Portsmouth,Reading,3,1,H
Sheffield United,Chelsea,0,2,A
Watford,Tottenham,0,0,D
West Ham,Blackburn,2,1,H
Man City,Middlesbrough,1,0,H
Bolton,Wigan,0,1,A
Charlton,Man City,1,0,H
Fulham,Everton,1,0,H
