HomeTeam,AwayTeam,FTHG,FTAG,FTR
Burnley,Swansea,0,1,A
Crystal Palace,West Brom,0,1,A
Everton,Tottenham,1,1,D
Hull,Leicester,2,1,H
Man City,Sunderland,2,1,H
Middlesbrough,Stoke,1,1,D
Southampton,Watford,1,1,D
Arsenal,Liverpool,3,4,A
Bournemouth,Man United,1,3,A
Chelsea,West Ham,2,1,H
Man United,Southampton,2,0,H
Burnley,Liverpool,2,0,H
Leicester,Arsenal,0,0,D
Stoke,Man City,1,4,A
Swansea,Hull,0,2,A
Tottenham,Crystal Palace,1,0,H
Watford,Chelsea,1,2,A
West Brom,Everton,1,2,A
Sunderland,Middlesbrough,1,2,A
West Ham,Bournemouth,1,0,H
Chelsea,Burnley,3,0,H
Crystal Palace,Bournemouth,1,1,D
Everton,Stoke,1,0,H
Hull,Man United,0,1,A
Leicester,Swansea,2,1,H
Southampton,Sunderland,1,1,D
Tottenham,Liverpool,1,1,D
Watford,Arsenal,1,3,A
Man City,West Ham,3,1,H
West Brom,Middlesbrough,0,0,D
Arsenal,Southampton,2,1,H
Bournemouth,West Brom,1,0,H
Burnley,Hull,1,1,D
Liverpool,Leicester,4,1,H
Man United,Man City,1,2,A
Middlesbrough,Crystal Palace,1,2,A
Stoke,Tottenham,0,4,A
West Ham,Watford,2,4,A
Swansea,Chelsea,2,2,D
Sunderland,Everton,0,3,A
Chelsea,Liverpool,1,2,A
Everton,Middlesbrough,3,1,H
Hull,Arsenal,1,4,A
Leicester,Burnley,3,0,H
Man City,Bournemouth,4,0,H
West Brom,West Ham,4,2,H
Crystal Palace,Stoke,4,1,H
Southampton,Swansea,1,0,H
Tottenham,Sunderland,1,0,H
Watford,Man United,3,1,H
Arsenal,Chelsea,3,0,H
Bournemouth,Everton,1,0,H
Liverpool,Hull,5,1,H
Man United,Leicester,4,1,H
Middlesbrough,Tottenham,1,2,A
Stoke,West Brom,1,1,D
Sunderland,Crystal Palace,2,3,A
Swansea,Man City,1,3,A
West Ham,Southampton,0,3,A
Burnley,Watford,2,0,H
Everton,Crystal Palace,1,1,D
Hull,Chelsea,0,2,A
Sunderland,West Brom,1,1,D
Swansea,Liverpool,1,2,A
Watford,Bournemouth,2,2,D
West Ham,Middlesbrough,1,1,D
Burnley,Arsenal,0,1,A
Leicester,Southampton,0,0,D
Man United,Stoke,1,1,D
Tottenham,Man City,2,0,H
Arsenal,Swansea,3,2,H
Bournemouth,Hull,6,1,H
Chelsea,Leicester,3,0,H
Crystal Palace,West Ham,0,1,A
Man City,Everton,1,1,D
Stoke,Sunderland,2,0,H
West Brom,Tottenham,1,1,D
Middlesbrough,Watford,0,1,A
Southampton,Burnley,3,1,H
Liverpool,Man United,0,0,D
Arsenal,Middlesbrough,0,0,D
Bournemouth,Tottenham,0,0,D
Burnley,Everton,2,1,H
Hull,Stoke,0,2,A
Leicester,Crystal Palace,3,1,H
Liverpool,West Brom,2,1,H
Swansea,Watford,0,0,D
West Ham,Sunderland,1,0,H
Chelsea,Man United,4,0,H
Man City,Southampton,1,1,D
Crystal Palace,Liverpool,2,4,A
Man United,Burnley,0,0,D
Middlesbrough,Bournemouth,2,0,H
Sunderland,Arsenal,1,4,A
Tottenham,Leicester,1,1,D
Watford,Hull,1,0,H
West Brom,Man City,0,4,A
Everton,West Ham,2,0,H
Southampton,Chelsea,0,2,A
Stoke,Swansea,3,1,H
Bournemouth,Sunderland,1,2,A
Burnley,Crystal Palace,3,2,H
Chelsea,Everton,5,0,H
Man City,Middlesbrough,1,1,D
West Ham,Stoke,1,1,D
Arsenal,Tottenham,1,1,D
Hull,Southampton,2,1,H
Leicester,West Brom,1,2,A
Liverpool,Watford,6,1,H
Swansea,Man United,1,3,A
Crystal Palace,Man City,1,2,A
Everton,Swansea,1,1,D
Man United,Arsenal,1,1,D
Southampton,Liverpool,0,0,D
Stoke,Bournemouth,0,1,A
Sunderland,Hull,3,0,H
Tottenham,West Ham,3,2,H
Watford,Leicester,2,1,H
Middlesbrough,Chelsea,0,1,A
West Brom,Burnley,4,0,H
Burnley,Man City,1,2,A
Chelsea,Tottenham,2,1,H
Hull,West Brom,1,1,D
Leicester,Middlesbrough,2,2,D
Liverpool,Sunderland,2,0,H
Swansea,Crystal Palace,5,4,H
Arsenal,Bournemouth,3,1,H
Man United,West Ham,1,1,D
Southampton,Everton,1,0,H
Watford,Stoke,0,1,A
Crystal Palace,Southampton,3,0,H
Man City,Chelsea,1,3,A
Stoke,Burnley,2,0,H
Sunderland,Leicester,2,1,H
Tottenham,Swansea,5,0,H
West Brom,Watford,3,1,H
West Ham,Arsenal,1,5,A
Bournemouth,Liverpool,4,3,H
Everton,Man United,1,1,D
Middlesbrough,Hull,1,0,H
Arsenal,Stoke,3,1,H
Burnley,Bournemouth,3,2,H
Hull,Crystal Palace,3,3,D
Leicester,Man City,4,2,H
Swansea,Sunderland,3,0,H
Watford,Everton,3,2,H
Chelsea,West Brom,1,0,H
Liverpool,West Ham,2,2,D
Man United,Tottenham,1,0,H
Southampton,Middlesbrough,1,0,H
Bournemouth,Leicester,1,0,H
Everton,Arsenal,2,1,H
Crystal Palace,Man United,1,2,A
Man City,Watford,2,0,H
Middlesbrough,Liverpool,0,3,A
Stoke,Southampton,0,0,D
Sunderland,Chelsea,0,1,A
Tottenham,Hull,3,0,H
West Brom,Swansea,3,1,H
West Ham,Burnley,1,0,H
Crystal Palace,Chelsea,0,1,A
Middlesbrough,Swansea,3,0,H
Stoke,Leicester,2,2,D
Sunderland,Watford,1,0,H
West Brom,Man United,0,2,A
West Ham,Hull,1,0,H
Bournemouth,Southampton,1,3,A
Man City,Arsenal,2,1,H
Tottenham,Burnley,2,1,H
Everton,Liverpool,0,1,A
Arsenal,West Brom,1,0,H
Burnley,Middlesbrough,1,0,H
Chelsea,Bournemouth,3,0,H
Hull,Man City,0,3,A
Leicester,Everton,0,2,A
Man United,Sunderland,3,1,H
Swansea,West Ham,1,4,A
Watford,Crystal Palace,1,1,D
Liverpool,Stoke,4,1,H
Southampton,Tottenham,1,4,A
Hull,Everton,2,2,D
Burnley,Sunderland,4,1,H
Chelsea,Stoke,4,2,H
Leicester,West Ham,1,0,H
Liverpool,Man City,1,0,H
Man United,Middlesbrough,2,1,H
Southampton,West Brom,1,2,A
Swansea,Bournemouth,0,3,A
Arsenal,Crystal Palace,2,0,H
Watford,Tottenham,1,4,A
Everton,Southampton,3,0,H
Man City,Burnley,2,1,H
Middlesbrough,Leicester,0,0,D
Sunderland,Liverpool,2,2,D
West Brom,Hull,3,1,H
West Ham,Man United,0,2,A
Bournemouth,Arsenal,3,3,D
Crystal Palace,Swansea,1,2,A
Stoke,Watford,2,0,H
Tottenham,Chelsea,2,0,H
Burnley,Southampton,1,0,H
Hull,Bournemouth,3,1,H
Leicester,Chelsea,0,3,A
Sunderland,Stoke,1,3,A
Swansea,Arsenal,0,4,A
Tottenham,West Brom,4,0,H
Watford,Middlesbrough,0,0,D
West Ham,Crystal Palace,3,0,H
Everton,Man City,4,0,H
Man United,Liverpool,1,1,D
Bournemouth,Watford,2,2,D
Crystal Palace,Everton,0,1,A
Liverpool,Swansea,2,3,A
Man City,Tottenham,2,2,D
Middlesbrough,West Ham,1,3,A
Stoke,Man United,1,1,D
West Brom,Sunderland,2,0,H
Arsenal,Burnley,2,1,H
Chelsea,Hull,2,0,H
Southampton,Leicester,3,0,H
Arsenal,Watford,1,2,A
Bournemouth,Crystal Palace,0,2,A
Burnley,Leicester,1,0,H
Liverpool,Chelsea,1,1,D
Middlesbrough,West Brom,1,1,D
Sunderland,Tottenham,0,0,D
Swansea,Southampton,2,1,H
Man United,Hull,0,0,D
Stoke,Everton,1,1,D
West Ham,Man City,0,4,A
Chelsea,Arsenal,3,1,H
Crystal Palace,Sunderland,0,4,A
Everton,Bournemouth,6,3,H
Hull,Liverpool,2,0,H
Southampton,West Ham,1,3,A
Tottenham,Middlesbrough,1,0,H
Watford,Burnley,2,1,H
West Brom,Stoke,1,0,H
Leicester,Man United,0,3,A
Man City,Swansea,2,1,H
Arsenal,Hull,2,0,H
Liverpool,Tottenham,2,0,H
Man United,Watford,2,0,H
Middlesbrough,Everton,0,0,D
Stoke,Crystal Palace,1,0,H
Sunderland,Southampton,0,4,A
West Ham,West Brom,2,2,D
Burnley,Chelsea,1,1,D
Swansea,Leicester,2,0,H
Bournemouth,Man City,0,2,A
Chelsea,Swansea,3,1,H
Crystal Palace,Middlesbrough,1,0,H
Everton,Sunderland,2,0,H
Hull,Burnley,1,1,D
Watford,West Ham,1,1,D
West Brom,Bournemouth,2,1,H
Tottenham,Stoke,4,0,H
Leicester,Liverpool,3,1,H
Leicester,Hull,3,1,H
Liverpool,Arsenal,3,1,H
Man United,Bournemouth,1,1,D
Stoke,Middlesbrough,2,0,H
Swansea,Burnley,3,2,H
Watford,Southampton,3,4,A
West Brom,Crystal Palace,0,2,A
Sunderland,Man City,0,2,A
Tottenham,Everton,3,2,H
West Ham,Chelsea,1,2,A
Man City,Stoke,0,0,D
Bournemouth,West Ham,3,2,H
Everton,West Brom,3,0,H
Hull,Swansea,2,1,H
Liverpool,Burnley,2,1,H
Bournemouth,Swansea,2,0,H
Crystal Palace,Watford,1,0,H
Everton,Hull,4,0,H
Stoke,Chelsea,1,2,A
Sunderland,Burnley,0,0,D
West Brom,Arsenal,3,1,H
West Ham,Leicester,2,3,A
Man City,Liverpool,1,1,D
Middlesbrough,Man United,1,3,A
Tottenham,Southampton,2,1,H
Burnley,Tottenham,0,2,A
Chelsea,Crystal Palace,1,2,A
Hull,West Ham,2,1,H
Leicester,Stoke,2,0,H
Liverpool,Everton,3,1,H
Man United,West Brom,0,0,D
Southampton,Bournemouth,0,0,D
Watford,Sunderland,1,0,H
Arsenal,Man City,2,2,D
Swansea,Middlesbrough,0,0,D
Burnley,Stoke,1,0,H
Leicester,Sunderland,2,0,H
Man United,Everton,1,1,D
Watford,West Brom,2,0,H
Arsenal,West Ham,3,0,H
Chelsea,Man City,2,1,H
Hull,Middlesbrough,4,2,H
Liverpool,Bournemouth,2,2,D
Southampton,Crystal Palace,3,1,H
Swansea,Tottenham,1,3,A
Bournemouth,Chelsea,1,3,A
Man City,Hull,3,1,H
Middlesbrough,Burnley,0,0,D
Stoke,Liverpool,1,2,A
Tottenham,Watford,4,0,H
West Brom,Southampton,0,1,A
West Ham,Swansea,1,0,H
Everton,Leicester,4,2,H
Sunderland,Man United,0,3,A
Crystal Palace,Arsenal,3,0,H
Crystal Palace,Leicester,2,2,D
Everton,Burnley,3,1,H
Southampton,Man City,0,3,A
Stoke,Hull,3,1,H
Sunderland,West Ham,2,2,D
Tottenham,Bournemouth,4,0,H
Watford,Swansea,1,0,H
Man United,Chelsea,2,0,H
West Brom,Liverpool,0,1,A
Middlesbrough,Arsenal,1,2,A
Bournemouth,Middlesbrough,4,0,H
Hull,Watford,2,0,H
Swansea,Stoke,2,0,H
West Ham,Everton,0,0,D
Burnley,Man United,0,2,A
Liverpool,Crystal Palace,1,2,A
Chelsea,Southampton,4,2,H
Arsenal,Leicester,1,0,H
Crystal Palace,Tottenham,0,1,A
Middlesbrough,Sunderland,1,0,H
Man City,Man United,0,0,D
Crystal Palace,Burnley,0,2,A
Southampton,Hull,0,0,D
Stoke,West Ham,0,0,D
Sunderland,Bournemouth,0,1,A
West Brom,Leicester,0,1,A
Everton,Chelsea,0,3,A
Man United,Swansea,1,1,D
Middlesbrough,Man City,2,2,D
Tottenham,Arsenal,2,0,H
Watford,Liverpool,0,1,A
West Ham,Tottenham,1,0,H
Bournemouth,Stoke,2,2,D
Burnley,West Brom,2,2,D
Hull,Sunderland,0,2,A
Leicester,Watford,3,0,H
Man City,Crystal Palace,5,0,H
Swansea,Everton,1,0,H
Arsenal,Man United,2,0,H
Liverpool,Southampton,0,0,D
Chelsea,Middlesbrough,3,0,H
Southampton,Arsenal,0,2,A
Everton,Watford,1,0,H
West Brom,Chelsea,0,1,A
Bournemouth,Burnley,2,1,H
Man City,Leicester,2,1,H
Middlesbrough,Southampton,1,2,A
Stoke,Arsenal,1,4,A
Sunderland,Swansea,0,2,A
Crystal Palace,Hull,4,0,H
Tottenham,Man United,2,1,H
West Ham,Liverpool,0,4,A
Chelsea,Watford,4,3,H
Arsenal,Sunderland,2,0,H
Man City,West Brom,3,1,H
Southampton,Man United,0,0,D
Leicester,Tottenham,1,6,A
Arsenal,Everton,3,1,H
Burnley,West Ham,1,2,A
Chelsea,Sunderland,5,1,H
Hull,Tottenham,1,7,A
Leicester,Bournemouth,1,1,D
Liverpool,Middlesbrough,3,0,H
Man United,Crystal Palace,2,0,H
Southampton,Stoke,0,1,A
Swansea,West Brom,2,1,H
Watford,Man City,0,5,A
