HomeTeam,AwayTeam,FTHG,FTAG,FTR
Aston Villa,Man United,3,1,H
Blackburn,QPR,1,0,H
Chelsea,Everton,0,0,D
Liverpool,Sheffield Weds,1,0,H
Man City,Tottenham,1,1,D
Newcastle,Coventry,3,0,H
Southampton,Nott'm Forest,3,4,A
West Ham,Leeds,1,2,A
Wimbledon,Bolton,3,2,H
Arsenal,Middlesbrough,1,1,D
Leeds,Liverpool,1,0,H
Bolton,Newcastle,1,3,A
Coventry,Man City,2,1,H
Everton,Arsenal,0,2,A
Man United,West Ham,2,1,H
Nott'm Forest,Chelsea,0,0,D
QPR,Wimbledon,0,3,A
Sheffield Weds,Blackburn,2,1,H
Tottenham,Aston Villa,0,1,A
Bolton,Blackburn,2,1,H
Coventry,Arsenal,0,0,D
Everton,Southampton,2,0,H
Leeds,Aston Villa,2,0,H
Man United,Wimbledon,3,1,H
Middlesbrough,Chelsea,2,0,H
Nott'm Forest,West Ham,1,1,D
QPR,Man City,1,0,H
Tottenham,Liverpool,1,3,A
Sheffield Weds,Newcastle,0,2,A
Blackburn,Man United,1,2,A
Arsenal,Nott'm Forest,1,1,D
Aston Villa,Bolton,1,0,H
Chelsea,Coventry,2,2,D
Liverpool,QPR,1,0,H
Man City,Everton,0,2,A
Newcastle,Middlesbrough,1,0,H
Southampton,Leeds,1,1,D
West Ham,Tottenham,1,1,D
Wimbledon,Sheffield Weds,2,2,D
Blackburn,Aston Villa,1,1,D
Bolton,Middlesbrough,1,1,D
Coventry,Nott'm Forest,1,1,D
Everton,Man United,2,3,A
QPR,Sheffield Weds,0,3,A
Southampton,Newcastle,1,0,H
Tottenham,Leeds,2,1,H
Wimbledon,Liverpool,1,0,H
Man City,Arsenal,0,1,A
West Ham,Chelsea,1,3,A
Middlesbrough,Southampton,0,0,D
Arsenal,West Ham,1,0,H
Aston Villa,Wimbledon,2,0,H
Chelsea,Southampton,3,0,H
Leeds,QPR,1,3,A
Liverpool,Blackburn,3,0,H
Man United,Bolton,3,0,H
Middlesbrough,Coventry,2,1,H
Newcastle,Man City,3,1,H
Sheffield Weds,Tottenham,1,3,A
Nott'm Forest,Everton,3,2,H
Arsenal,Southampton,4,2,H
Aston Villa,Nott'm Forest,1,1,D
Blackburn,Coventry,5,1,H
Liverpool,Bolton,5,2,H
Man City,Middlesbrough,0,1,A
