HomeTeam,AwayTeam,FTHG,FTAG,FTR
Charlton,Man City,4,0,H
Chelsea,West Ham,4,2,H
Coventry,Middlesbrough,1,3,A
Derby,Southampton,2,2,D
Leeds,Everton,2,0,H
Leicester,Aston Villa,0,0,D
Liverpool,Bradford,1,0,H
Sunderland,Arsenal,1,0,H
Tottenham,Ipswich,3,1,H
Man United,Newcastle,2,0,H
Arsenal,Liverpool,2,0,H
Bradford,Chelsea,2,0,H
Ipswich,Man United,1,1,D
Middlesbrough,Tottenham,1,1,D
Everton,Charlton,3,0,H
Man City,Sunderland,4,2,H
Newcastle,Derby,3,2,H
Southampton,Coventry,1,2,A
West Ham,Leicester,0,1,A
Arsenal,Charlton,5,3,H
Bradford,Leicester,0,0,D
Everton,Derby,2,2,D
Ipswich,Sunderland,1,0,H
Man City,Coventry,1,2,A
Middlesbrough,Leeds,1,2,A
Newcastle,Tottenham,2,0,H
Southampton,Liverpool,3,3,D
West Ham,Man United,2,2,D
Aston Villa,Chelsea,1,1,D
Leeds,Man City,1,2,A
Man United,Bradford,6,0,H
Sunderland,West Ham,1,1,D
Tottenham,Everton,3,2,H
Charlton,Southampton,1,1,D
Chelsea,Arsenal,2,2,D
Coventry,Newcastle,0,2,A
Derby,Middlesbrough,3,3,D
Leicester,Ipswich,2,1,H
Liverpool,Aston Villa,3,1,H
Bradford,Arsenal,1,1,D
Coventry,Leeds,0,0,D
Ipswich,Aston Villa,1,2,A
Leicester,Southampton,1,0,H
Liverpool,Man City,3,2,H
Man United,Sunderland,3,0,H
Middlesbrough,Everton,1,2,A
Newcastle,Chelsea,0,0,D
Derby,Charlton,2,2,D
Tottenham,West Ham,1,0,H
Arsenal,Coventry,2,1,H
Aston Villa,Bradford,2,0,H
Charlton,Tottenham,1,0,H
Everton,Man United,1,3,A
Leeds,Ipswich,1,2,A
Southampton,Newcastle,2,0,H
Sunderland,Derby,2,1,H
Chelsea,Leicester,0,2,A
Man City,Middlesbrough,1,1,D
West Ham,Liverpool,1,1,D
Bradford,Southampton,0,1,A
Coventry,West Ham,0,3,A
Derby,Leeds,1,1,D
Ipswich,Arsenal,1,1,D
Liverpool,Sunderland,1,1,D
Man United,Chelsea,3,3,D
Middlesbrough,Aston Villa,1,1,D
Newcastle,Charlton,0,1,A
Tottenham,Man City,0,0,D
Leicester,Everton,1,1,D
Aston Villa,Derby,4,1,H
Charlton,Coventry,2,2,D
Everton,Ipswich,0,3,A
Leeds,Tottenham,4,3,H
Man City,Newcastle,0,1,A
Southampton,Middlesbrough,1,3,A
West Ham,Bradford,1,1,D
Arsenal,Man United,1,0,H
Chelsea,Liverpool,3,0,H
Sunderland,Leicester,0,0,D
Arsenal,Aston Villa,1,0,H
Coventry,Tottenham,2,1,H
Everton,Southampton,1,1,D
Ipswich,West Ham,1,1,D
Leeds,Charlton,3,1,H
Leicester,Man United,0,3,A
Man City,Bradford,2,0,H
Sunderland,Chelsea,1,0,H
Derby,Liverpool,0,4,A
Middlesbrough,Newcastle,1,3,A
Bradford,Ipswich,0,2,A
Charlton,Middlesbrough,1,0,H
Chelsea,Coventry,6,1,H
Liverpool,Leicester,1,0,H
Man United,Leeds,3,0,H
Newcastle,Everton,0,1,A
Tottenham,Derby,3,1,H
West Ham,Arsenal,1,2,A
Aston Villa,Sunderland,0,0,D
Southampton,Man City,0,2,A
Arsenal,Man City,5,0,H
Aston Villa,Charlton,2,1,H
Chelsea,Tottenham,3,0,H
Ipswich,Middlesbrough,2,1,H
Leicester,Derby,2,1,H
Man United,Southampton,5,0,H
Sunderland,Coventry,1,0,H
West Ham,Newcastle,1,0,H
Bradford,Leeds,1,1,D
Liverpool,Everton,3,1,H
Charlton,Bradford,2,0,H
Coventry,Man United,1,2,A
Leeds,Liverpool,4,3,H
Man City,Leicester,0,1,A
Middlesbrough,Arsenal,0,1,A
Newcastle,Ipswich,2,1,H
Southampton,Chelsea,3,2,H
Tottenham,Sunderland,2,1,H
Everton,Aston Villa,0,1,A
Derby,West Ham,0,0,D
Arsenal,Derby,0,0,D
Aston Villa,Tottenham,2,0,H
Bradford,Everton,0,1,A
Ipswich,Charlton,2,0,H
Leicester,Newcastle,1,1,D
Man United,Middlesbrough,2,1,H
Sunderland,Southampton,2,2,D
West Ham,Man City,4,1,H
Chelsea,Leeds,1,1,D
Liverpool,Coventry,4,1,H
Charlton,Chelsea,2,0,H
Derby,Bradford,2,0,H
Everton,Arsenal,2,0,H
Leeds,West Ham,0,1,A
Man City,Man United,0,1,A
Middlesbrough,Leicester,0,3,A
Newcastle,Sunderland,1,2,A
Southampton,Aston Villa,2,0,H
Tottenham,Liverpool,2,1,H
Coventry,Ipswich,0,1,A
Charlton,Sunderland,0,1,A
Coventry,Aston Villa,1,1,D
Derby,Man United,0,3,A
Everton,Chelsea,2,1,H
Man City,Ipswich,2,3,A
Middlesbrough,Bradford,2,2,D
