HomeTeam,AwayTeam,FTHG,FTAG,FTR
Burnley,Man City,0,3,A
Arsenal,Nott'm Forest,2,1,H
Bournemouth,West Ham,1,1,D
Brighton,Luton,4,1,H
Everton,Fulham,0,1,A
Sheffield United,Crystal Palace,0,1,A
Newcastle,Aston Villa,5,1,H
Brentford,Tottenham,2,2,D
Chelsea,Liverpool,1,1,D
Man United,Wolves,1,0,H
Nott'm Forest,Sheffield United,2,1,H
Fulham,Brentford,0,3,A
Liverpool,Bournemouth,3,1,H
Wolves,Brighton,1,4,A
Tottenham,Man United,2,0,H
Man City,Newcastle,1,0,H
Aston Villa,Everton,4,0,H
West Ham,Chelsea,3,1,H
Crystal Palace,Arsenal,0,1,A
Chelsea,Luton,3,0,H
Bournemouth,Tottenham,0,2,A
Arsenal,Fulham,2,2,D
Brentford,Crystal Palace,1,1,D
Everton,Wolves,0,1,A
Man United,Nott'm Forest,3,2,H
Brighton,West Ham,1,3,A
Burnley,Aston Villa,1,3,A
Sheffield United,Man City,1,2,A
Newcastle,Liverpool,1,2,A
Luton,West Ham,1,2,A
Sheffield United,Everton,2,2,D
Brentford,Bournemouth,2,2,D
Burnley,Tottenham,2,5,A
Chelsea,Nott'm Forest,0,1,A
Man City,Fulham,5,1,H
Brighton,Newcastle,3,1,H
Crystal Palace,Wolves,3,2,H
Liverpool,Aston Villa,3,0,H
Arsenal,Man United,3,1,H
Wolves,Liverpool,1,3,A
Aston Villa,Crystal Palace,3,1,H
Fulham,Luton,1,0,H
Man United,Brighton,1,3,A
Tottenham,Sheffield United,2,1,H
West Ham,Man City,1,3,A
Newcastle,Brentford,1,0,H
Bournemouth,Chelsea,0,0,D
Everton,Arsenal,0,1,A
Nott'm Forest,Burnley,1,1,D
Crystal Palace,Fulham,0,0,D
Luton,Wolves,1,1,D
Man City,Nott'm Forest,2,0,H
Brentford,Everton,1,3,A
Burnley,Man United,0,1,A
Arsenal,Tottenham,2,2,D
Brighton,Bournemouth,3,1,H
Chelsea,Aston Villa,0,1,A
Liverpool,West Ham,3,1,H
Sheffield United,Newcastle,0,8,A
Aston Villa,Brighton,6,1,H
Bournemouth,Arsenal,0,4,A
Everton,Luton,1,2,A
Man United,Crystal Palace,0,1,A
Newcastle,Burnley,2,0,H
West Ham,Sheffield United,2,0,H
Wolves,Man City,2,1,H
Tottenham,Liverpool,2,1,H
Nott'm Forest,Brentford,1,1,D
Fulham,Chelsea,0,2,A
Luton,Burnley,1,2,A
Luton,Tottenham,0,1,A
Burnley,Chelsea,1,4,A
Everton,Bournemouth,3,0,H
Fulham,Sheffield United,3,1,H
Man United,Brentford,2,1,H
Crystal Palace,Nott'm Forest,0,0,D
Brighton,Liverpool,2,2,D
West Ham,Newcastle,2,2,D
Wolves,Aston Villa,1,1,D
Arsenal,Man City,1,0,H
Liverpool,Everton,2,0,H
Bournemouth,Wolves,1,2,A
Brentford,Burnley,3,0,H
Man City,Brighton,2,1,H
Newcastle,Crystal Palace,4,0,H
Nott'm Forest,Luton,2,2,D
Chelsea,Arsenal,2,2,D
Sheffield United,Man United,1,2,A
Aston Villa,West Ham,4,1,H
Tottenham,Fulham,2,0,H
Crystal Palace,Tottenham,1,2,A
Chelsea,Brentford,0,2,A
Arsenal,Sheffield United,5,0,H
Bournemouth,Burnley,2,1,H
Wolves,Newcastle,2,2,D
