HomeTeam,AwayTeam,FTHG,FTAG,FTR
Arsenal,West Ham,2,0,H
Blackburn,Tottenham,0,2,A
Coventry,Nott'm Forest,0,3,A
Derby,Leeds,3,3,D
Everton,Newcastle,2,0,H
Middlesbrough,Liverpool,3,3,D
Sheffield Weds,Aston Villa,2,1,H
Sunderland,Leicester,0,0,D
Wimbledon,Man United,0,3,A
Southampton,Chelsea,0,0,D
Liverpool,Arsenal,2,0,H
Leeds,Sheffield Weds,0,2,A
Aston Villa,Blackburn,1,0,H
Chelsea,Middlesbrough,1,0,H
Leicester,Southampton,2,1,H
Man United,Everton,2,2,D
Newcastle,Wimbledon,2,0,H
Nott'm Forest,Sunderland,1,4,A
Tottenham,Derby,1,1,D
West Ham,Coventry,1,1,D
Aston Villa,Derby,2,0,H
Chelsea,Coventry,2,0,H
Leicester,Arsenal,0,2,A
Liverpool,Sunderland,0,0,D
Newcastle,Sheffield Weds,1,2,A
Nott'm Forest,Middlesbrough,1,1,D
Tottenham,Everton,0,0,D
West Ham,Southampton,2,1,H
Man United,Blackburn,2,2,D
Leeds,Wimbledon,1,0,H
Sheffield Weds,Leicester,2,1,H
Arsenal,Chelsea,3,3,D
Blackburn,Leeds,0,1,A
Coventry,Liverpool,0,1,A
Derby,Man United,1,1,D
Everton,Aston Villa,0,1,A
Middlesbrough,West Ham,4,1,H
Southampton,Nott'm Forest,2,2,D
Sunderland,Newcastle,1,2,A
Wimbledon,Tottenham,1,0,H
Aston Villa,Arsenal,2,2,D
Leeds,Man United,0,4,A
Liverpool,Southampton,2,1,H
Middlesbrough,Coventry,4,0,H
Nott'm Forest,Leicester,0,0,D
Sheffield Weds,Chelsea,0,2,A
Tottenham,Newcastle,1,2,A
Wimbledon,Everton,4,0,H
Sunderland,West Ham,0,0,D
Blackburn,Derby,1,2,A
Coventry,Leeds,2,1,H
Derby,Sunderland,1,0,H
Everton,Middlesbrough,1,2,A
Man United,Nott'm Forest,4,1,H
Newcastle,Blackburn,2,1,H
Southampton,Tottenham,0,1,A
West Ham,Wimbledon,0,2,A
Chelsea,Aston Villa,1,1,D
Leicester,Liverpool,0,3,A
