HomeTeam,AwayTeam,FTHG,FTAG,FTR
Arsenal,Leicester,2,1,H
Chelsea,Sunderland,4,0,H
Coventry,Southampton,0,1,A
Leeds,Derby,0,0,D
Middlesbrough,Bradford,0,1,A
Newcastle,Aston Villa,0,1,A
Sheffield Weds,Liverpool,1,2,A
Watford,Wimbledon,2,3,A
West Ham,Tottenham,1,0,H
Everton,Man United,1,1,D
Tottenham,Newcastle,3,1,H
Derby,Arsenal,1,2,A
Sunderland,Watford,2,0,H
Wimbledon,Middlesbrough,2,3,A
Aston Villa,Everton,3,0,H
Leicester,Coventry,1,0,H
Man United,Sheffield Weds,4,0,H
Southampton,Leeds,0,3,A
Bradford,Sheffield Weds,1,1,D
Derby,Middlesbrough,1,3,A
Leicester,Chelsea,2,2,D
Liverpool,Watford,0,1,A
Man United,Leeds,2,0,H
Sunderland,Arsenal,0,0,D
Tottenham,Everton,3,2,H
Wimbledon,Coventry,1,1,D
Southampton,Newcastle,4,2,H
Aston Villa,West Ham,2,2,D
Chelsea,Aston Villa,1,0,H
Coventry,Derby,2,0,H
Everton,Southampton,4,1,H
Leeds,Sunderland,2,1,H
Middlesbrough,Liverpool,1,0,H
Newcastle,Wimbledon,3,3,D
Sheffield Weds,Tottenham,1,2,A
Watford,Bradford,1,0,H
West Ham,Leicester,2,1,H
Arsenal,Man United,1,2,A
Leeds,Liverpool,1,2,A
Middlesbrough,Leicester,0,3,A
Watford,Aston Villa,0,1,A
Arsenal,Bradford,2,0,H
Coventry,Man United,1,2,A
Everton,Wimbledon,4,0,H
Newcastle,Sunderland,1,2,A
Sheffield Weds,Derby,0,2,A
Aston Villa,Middlesbrough,1,0,H
Bradford,West Ham,0,3,A
Derby,Everton,1,0,H
Liverpool,Arsenal,2,0,H
Southampton,Sheffield Weds,2,0,H
Tottenham,Leeds,1,2,A
Wimbledon,Chelsea,0,1,A
Sunderland,Coventry,1,1,D
Leicester,Watford,1,0,H
Man United,Newcastle,5,1,H
Arsenal,Aston Villa,3,1,H
Chelsea,Newcastle,1,0,H
Coventry,Leeds,3,4,A
Liverpool,Man United,2,3,A
Middlesbrough,Southampton,3,2,H
Sheffield Weds,Everton,0,2,A
Sunderland,Leicester,2,0,H
West Ham,Watford,1,0,H
Wimbledon,Derby,2,2,D
