HomeTeam,AwayTeam,FTHG,FTAG,FTR
Aston Villa,West Ham,3,0,H
Blackburn,Everton,1,0,H
Bolton,Fulham,0,0,D
Chelsea,West Brom,6,0,H
Sunderland,Birmingham,2,2,D
Tottenham,Man City,0,0,D
Wigan,Blackpool,0,4,A
Wolves,Stoke,2,1,H
Liverpool,Arsenal,1,1,D
Man United,Newcastle,3,0,H
Arsenal,Blackpool,6,0,H
Birmingham,Blackburn,2,1,H
Everton,Wolves,1,1,D
Stoke,Tottenham,1,2,A
West Brom,Sunderland,1,0,H
West Ham,Bolton,1,3,A
Wigan,Chelsea,0,6,A
Fulham,Man United,2,2,D
Newcastle,Aston Villa,6,0,H
Man City,Liverpool,3,0,H
Blackburn,Arsenal,1,2,A
Blackpool,Fulham,2,2,D
Chelsea,Stoke,2,0,H
Man United,West Ham,3,0,H
Tottenham,Wigan,0,1,A
Wolves,Newcastle,1,1,D
Aston Villa,Everton,1,0,H
Bolton,Birmingham,2,2,D
Liverpool,West Brom,1,0,H
Sunderland,Man City,1,0,H
Arsenal,Bolton,4,1,H
Everton,Man United,3,3,D
Fulham,Wolves,2,1,H
Man City,Blackburn,1,1,D
Newcastle,Blackpool,0,2,A
West Brom,Tottenham,1,1,D
West Ham,Chelsea,1,3,A
Wigan,Sunderland,1,1,D
Birmingham,Liverpool,0,0,D
Stoke,Aston Villa,2,1,H
Aston Villa,Bolton,1,1,D
Blackburn,Fulham,1,1,D
Everton,Newcastle,0,1,A
Stoke,West Ham,1,1,D
Sunderland,Arsenal,1,1,D
Tottenham,Wolves,3,1,H
West Brom,Birmingham,3,1,H
Chelsea,Blackpool,4,0,H
Man United,Liverpool,3,2,H
Wigan,Man City,0,2,A
Arsenal,West Brom,2,3,A
Birmingham,Wigan,0,0,D
Blackpool,Blackburn,1,2,A
Fulham,Everton,0,0,D
Liverpool,Sunderland,2,2,D
Man City,Chelsea,1,0,H
West Ham,Tottenham,1,0,H
Bolton,Man United,2,2,D
Newcastle,Stoke,1,2,A
Wolves,Aston Villa,1,2,A
Birmingham,Everton,0,2,A
Stoke,Blackburn,1,0,H
Sunderland,Man United,0,0,D
Tottenham,Aston Villa,2,1,H
West Brom,Bolton,1,1,D
West Ham,Fulham,1,1,D
Wigan,Wolves,2,0,H
Chelsea,Arsenal,2,0,H
Liverpool,Blackpool,1,2,A
Man City,Newcastle,2,1,H
Arsenal,Birmingham,2,1,H
Aston Villa,Chelsea,0,0,D
Bolton,Stoke,2,1,H
Fulham,Tottenham,1,2,A
Man United,West Brom,2,2,D
Newcastle,Wigan,2,2,D
Wolves,West Ham,1,1,D
Blackpool,Man City,2,3,A
Everton,Liverpool,2,0,H
Blackburn,Sunderland,0,0,D
Birmingham,Blackpool,2,0,H
Chelsea,Wolves,2,0,H
Sunderland,Aston Villa,1,0,H
Tottenham,Everton,1,1,D
West Brom,Fulham,2,1,H
West Ham,Newcastle,1,2,A
Wigan,Bolton,1,1,D
Liverpool,Blackburn,2,1,H
Man City,Arsenal,0,3,A
Stoke,Man United,1,2,A
Arsenal,West Ham,1,0,H
Blackburn,Chelsea,1,2,A
Everton,Stoke,1,0,H
Fulham,Wigan,2,0,H
Man United,Tottenham,2,0,H
Wolves,Man City,2,1,H
Aston Villa,Birmingham,0,0,D
Bolton,Liverpool,0,1,A
Newcastle,Sunderland,5,1,H
Blackpool,West Brom,2,1,H
Birmingham,West Ham,2,2,D
Blackburn,Wigan,2,1,H
Blackpool,Everton,2,2,D
Bolton,Tottenham,4,2,H
Fulham,Aston Villa,1,1,D
Man United,Wolves,2,1,H
Sunderland,Stoke,2,0,H
Arsenal,Newcastle,0,1,A
Liverpool,Chelsea,2,0,H
West Brom,Man City,0,2,A
Stoke,Birmingham,3,2,H
Tottenham,Sunderland,1,1,D
Aston Villa,Blackpool,3,2,H
Chelsea,Fulham,1,0,H
Everton,Bolton,1,1,D
Man City,Man United,0,0,D
Newcastle,Blackburn,1,2,A
West Ham,West Brom,2,2,D
Wigan,Liverpool,1,1,D
Wolves,Arsenal,0,2,A
Aston Villa,Man United,2,2,D
Man City,Birmingham,0,0,D
Newcastle,Fulham,0,0,D
Stoke,Liverpool,2,0,H
Tottenham,Blackburn,4,2,H
West Ham,Blackpool,0,0,D
Wigan,West Brom,1,0,H
Wolves,Bolton,2,3,A
Chelsea,Sunderland,0,3,A
Everton,Arsenal,1,2,A
Arsenal,Tottenham,2,3,A
Birmingham,Chelsea,1,0,H
Blackpool,Wolves,2,1,H
Bolton,Newcastle,5,1,H
Liverpool,West Ham,3,0,H
Man United,Wigan,2,0,H
West Brom,Stoke,0,3,A
Blackburn,Aston Villa,2,0,H
Fulham,Man City,1,4,A
Sunderland,Everton,2,2,D
Aston Villa,Arsenal,2,4,A
Bolton,Blackpool,2,2,D
