HomeTeam,AwayTeam,FTHG,FTAG,FTR
Barnsley,West Ham,1,2,A
Blackburn,Derby,1,0,H
Coventry,Chelsea,3,2,H
Everton,Crystal Palace,1,2,A
Leeds,Arsenal,1,1,D
Leicester,Aston Villa,1,0,H
Newcastle,Sheffield Weds,2,1,H
Southampton,Bolton,0,1,A
Wimbledon,Liverpool,1,1,D
Tottenham,Man United,0,2,A
Arsenal,Coventry,2,0,H
Crystal Palace,Barnsley,0,1,A
Aston Villa,Blackburn,0,4,A
Liverpool,Leicester,1,2,A
Man United,Southampton,1,0,H
Sheffield Weds,Leeds,1,3,A
West Ham,Tottenham,2,1,H
Blackburn,Liverpool,1,1,D
Coventry,Bolton,2,2,D
Everton,West Ham,2,1,H
Leeds,Crystal Palace,0,2,A
Leicester,Man United,0,0,D
Newcastle,Aston Villa,1,0,H
Southampton,Arsenal,1,3,A
Tottenham,Derby,1,0,H
Wimbledon,Sheffield Weds,1,1,D
Barnsley,Chelsea,0,6,A
Blackburn,Sheffield Weds,7,2,H
Leeds,Liverpool,0,2,A
Barnsley,Bolton,2,1,H
Coventry,West Ham,1,1,D
Everton,Man United,0,2,A
Leicester,Arsenal,3,3,D
Southampton,Crystal Palace,1,0,H
Tottenham,Aston Villa,3,2,H
Wimbledon,Chelsea,0,2,A
Arsenal,Tottenham,0,0,D
Aston Villa,Leeds,1,0,H
Chelsea,Southampton,4,2,H
Crystal Palace,Blackburn,1,2,A
Derby,Barnsley,1,0,H
Man United,Coventry,3,0,H
Sheffield Weds,Leicester,1,0,H
West Ham,Wimbledon,3,1,H
Bolton,Everton,0,0,D
Arsenal,Bolton,4,1,H
Barnsley,Aston Villa,0,3,A
Coventry,Southampton,1,0,H
Crystal Palace,Chelsea,0,3,A
Derby,Everton,3,1,H
Leicester,Tottenham,3,0,H
Liverpool,Sheffield Weds,2,1,H
Man United,West Ham,2,1,H
Newcastle,Wimbledon,1,3,A
Blackburn,Leeds,3,4,A
Aston Villa,Derby,2,1,H
Bolton,Man United,0,0,D
Everton,Barnsley,4,2,H
Leeds,Leicester,0,1,A
Sheffield Weds,Coventry,0,0,D
Southampton,Liverpool,1,1,D
Tottenham,Blackburn,0,0,D
West Ham,Newcastle,0,1,A
Wimbledon,Crystal Palace,0,1,A
Chelsea,Arsenal,2,3,A
Liverpool,Aston Villa,3,0,H
Bolton,Tottenham,1,1,D
Wimbledon,Barnsley,4,1,H
Arsenal,West Ham,4,0,H
Coventry,Crystal Palace,1,1,D
Leicester,Blackburn,1,1,D
Man United,Chelsea,2,2,D
Newcastle,Everton,1,0,H
Sheffield Weds,Derby,2,5,A
Southampton,Leeds,0,2,A
Aston Villa,Sheffield Weds,2,2,D
Barnsley,Leicester,0,2,A
Chelsea,Newcastle,1,0,H
Crystal Palace,Bolton,2,2,D
Derby,Southampton,4,0,H
Everton,Arsenal,2,2,D
Leeds,Man United,1,0,H
Tottenham,Wimbledon,0,0,D
West Ham,Liverpool,2,1,H
Blackburn,Coventry,0,0,D
Arsenal,Barnsley,5,0,H
Bolton,Aston Villa,0,1,A
Coventry,Leeds,0,0,D
Man United,Crystal Palace,2,0,H
Newcastle,Tottenham,1,0,H
Sheffield Weds,Everton,3,1,H
Southampton,West Ham,3,0,H
Wimbledon,Blackburn,0,1,A
Liverpool,Chelsea,4,2,H
Leicester,Derby,1,2,A
Aston Villa,Wimbledon,1,2,A
Blackburn,Southampton,1,0,H
Chelsea,Leicester,1,0,H
Crystal Palace,Arsenal,0,0,D
Derby,Man United,2,2,D
Everton,Liverpool,2,0,H
Leeds,Newcastle,4,1,H
West Ham,Bolton,3,0,H
Tottenham,Sheffield Weds,3,2,H
Barnsley,Coventry,2,0,H
Derby,Wimbledon,1,1,D
Coventry,Everton,0,0,D
Liverpool,Derby,4,0,H
Man United,Barnsley,7,0,H
Newcastle,Blackburn,1,1,D
Sheffield Weds,Crystal Palace,1,3,A
Southampton,Tottenham,3,2,H
Wimbledon,Leeds,1,0,H
Arsenal,Aston Villa,0,0,D
Bolton,Chelsea,1,0,H
Leicester,West Ham,2,1,H
Aston Villa,Chelsea,0,2,A
Barnsley,Blackburn,1,1,D
Bolton,Liverpool,1,1,D
Derby,Arsenal,3,0,H
Man United,Sheffield Weds,6,1,H
Newcastle,Leicester,3,3,D
Tottenham,Leeds,0,1,A
Wimbledon,Coventry,1,2,A
Everton,Southampton,0,2,A
Blackburn,Everton,3,2,H
Coventry,Newcastle,2,2,D
Crystal Palace,Aston Villa,1,1,D
Leeds,Derby,4,3,H
Liverpool,Tottenham,4,0,H
Sheffield Weds,Bolton,5,0,H
Southampton,Barnsley,4,1,H
Arsenal,Man United,3,2,H
Chelsea,West Ham,2,1,H
Leicester,Wimbledon,0,1,A
Aston Villa,Everton,2,1,H
Blackburn,Chelsea,1,0,H
Derby,Coventry,3,1,H
Leicester,Bolton,0,0,D
Liverpool,Barnsley,0,1,A
Newcastle,Southampton,2,1,H
Sheffield Weds,Arsenal,2,0,H
Wimbledon,Man United,2,5,A
Leeds,West Ham,3,1,H
Tottenham,Crystal Palace,0,1,A
Chelsea,Everton,2,0,H
Barnsley,Leeds,2,3,A
Bolton,Wimbledon,1,0,H
Chelsea,Derby,4,0,H
Coventry,Leicester,0,2,A
Crystal Palace,Newcastle,1,2,A
Everton,Tottenham,0,2,A
Southampton,Sheffield Weds,2,3,A
West Ham,Aston Villa,2,1,H
Arsenal,Liverpool,0,1,A
Man United,Blackburn,4,0,H
Bolton,Newcastle,1,0,H
West Ham,Crystal Palace,4,1,H
Aston Villa,Coventry,3,0,H
Blackburn,Bolton,3,1,H
Derby,West Ham,2,0,H
Leeds,Everton,0,0,D
Leicester,Crystal Palace,1,1,D
Liverpool,Man United,1,3,A
Newcastle,Arsenal,0,1,A
Tottenham,Chelsea,1,6,A
Wimbledon,Southampton,1,0,H
Sheffield Weds,Barnsley,2,1,H
Arsenal,Blackburn,1,3,A
Barnsley,Newcastle,2,2,D
Chelsea,Leeds,0,0,D
Coventry,Tottenham,4,0,H
Crystal Palace,Liverpool,0,3,A
Everton,Wimbledon,0,0,D
Southampton,Leicester,2,1,H
West Ham,Sheffield Weds,1,0,H
Bolton,Derby,3,3,D
Man United,Aston Villa,1,0,H
Newcastle,Derby,0,0,D
Aston Villa,Southampton,1,1,D
Blackburn,West Ham,3,0,H
Derby,Crystal Palace,0,0,D
Leeds,Bolton,2,0,H
Leicester,Everton,0,1,A
Liverpool,Coventry,1,0,H
Sheffield Weds,Chelsea,1,4,A
Tottenham,Barnsley,3,0,H
Newcastle,Man United,0,1,A
Arsenal,Leicester,2,1,H
Aston Villa,Tottenham,4,1,H
