HomeTeam,AwayTeam,FTHG,FTAG,FTR
Charlton,Everton,1,2,A
Derby,Blackburn,2,1,H
Leeds,Southampton,2,0,H
Leicester,Bolton,0,5,A
Liverpool,West Ham,2,1,H
Middlesbrough,Arsenal,0,4,A
Sunderland,Ipswich,1,0,H
Tottenham,Aston Villa,0,0,D
Chelsea,Newcastle,1,1,D
Man United,Fulham,3,2,H
Everton,Tottenham,1,1,D
Arsenal,Leeds,1,2,A
Bolton,Middlesbrough,1,0,H
Ipswich,Derby,3,1,H
Blackburn,Man United,2,2,D
Fulham,Sunderland,2,0,H
Arsenal,Leicester,4,0,H
Blackburn,Tottenham,2,1,H
Everton,Middlesbrough,2,0,H
Fulham,Derby,0,0,D
Ipswich,Charlton,0,1,A
Southampton,Chelsea,0,2,A
West Ham,Leeds,0,0,D
Aston Villa,Man United,1,1,D
Newcastle,Sunderland,1,1,D
Bolton,Liverpool,2,1,H
Chelsea,Arsenal,1,1,D
Derby,West Ham,0,0,D
Leeds,Bolton,0,0,D
Leicester,Ipswich,1,1,D
Liverpool,Aston Villa,1,3,A
Man United,Everton,4,1,H
Middlesbrough,Newcastle,1,4,A
Sunderland,Blackburn,1,0,H
Charlton,Fulham,1,1,D
Tottenham,Southampton,2,0,H
Bolton,Southampton,0,1,A
Derby,Leicester,2,3,A
Everton,Liverpool,1,3,A
Fulham,Arsenal,1,3,A
Middlesbrough,West Ham,2,0,H
Newcastle,Man United,4,3,H
Aston Villa,Sunderland,0,0,D
Charlton,Leeds,0,2,A
Ipswich,Blackburn,1,1,D
Tottenham,Chelsea,2,3,A
Leicester,Middlesbrough,1,2,A
Blackburn,Bolton,1,1,D
Sunderland,Tottenham,1,2,A
Arsenal,Bolton,1,1,D
Blackburn,Everton,1,0,H
Leicester,Fulham,0,0,D
Liverpool,Tottenham,1,0,H
Man United,Ipswich,4,0,H
Sunderland,Charlton,2,2,D
Chelsea,Middlesbrough,2,2,D
Leeds,Derby,3,0,H
West Ham,Newcastle,3,0,H
Southampton,Aston Villa,1,3,A
Newcastle,Leicester,1,0,H
Bolton,Sunderland,0,2,A
Charlton,Leicester,2,0,H
Derby,Arsenal,0,2,A
Everton,West Ham,5,0,H
Middlesbrough,Southampton,1,3,A
Tottenham,Man United,3,5,A
Aston Villa,Blackburn,2,0,H
Fulham,Chelsea,1,1,D
Ipswich,Leeds,1,2,A
Newcastle,Liverpool,0,2,A
Bolton,Newcastle,0,4,A
Charlton,Middlesbrough,0,0,D
Chelsea,Leicester,2,0,H
Ipswich,Everton,0,0,D
Liverpool,Leeds,1,1,D
Southampton,Arsenal,0,2,A
Sunderland,Man United,1,3,A
Aston Villa,Fulham,2,0,H
Blackburn,West Ham,7,1,H
Tottenham,Derby,3,1,H
Arsenal,Blackburn,3,3,D
Derby,Charlton,1,1,D
Everton,Aston Villa,3,2,H
Leicester,Liverpool,1,4,A
Man United,Bolton,1,2,A
West Ham,Southampton,2,0,H
Fulham,Ipswich,1,1,D
Leeds,Chelsea,0,0,D
Newcastle,Tottenham,0,2,A
Middlesbrough,Sunderland,2,0,H
Aston Villa,Charlton,1,0,H
Southampton,Ipswich,3,3,D
West Ham,Chelsea,2,1,H
Aston Villa,Bolton,3,2,H
Charlton,Liverpool,0,2,A
Everton,Newcastle,1,3,A
Fulham,Southampton,2,1,H
Man United,Leeds,1,1,D
Sunderland,Arsenal,1,1,D
Tottenham,Middlesbrough,2,1,H
Derby,Chelsea,1,1,D
Ipswich,West Ham,2,3,A
Blackburn,Leicester,0,0,D
Bolton,Everton,2,2,D
Leicester,Sunderland,1,0,H
Middlesbrough,Derby,5,1,H
Newcastle,Aston Villa,3,0,H
Southampton,Blackburn,1,2,A
West Ham,Fulham,0,2,A
Arsenal,Charlton,2,4,A
Chelsea,Ipswich,2,1,H
Leeds,Tottenham,2,1,H
Liverpool,Man United,3,1,H
Aston Villa,Middlesbrough,0,0,D
Blackburn,Liverpool,1,1,D
Derby,Southampton,1,0,H
Fulham,Newcastle,3,1,H
Man United,Leicester,2,0,H
Tottenham,Arsenal,1,1,D
Everton,Chelsea,0,0,D
Ipswich,Bolton,1,2,A
Sunderland,Leeds,2,0,H
Charlton,West Ham,4,4,D
Bolton,Fulham,0,0,D
Chelsea,Blackburn,0,0,D
Leicester,Everton,0,0,D
Newcastle,Derby,1,0,H
Southampton,Charlton,1,0,H
West Ham,Tottenham,0,1,A
Arsenal,Man United,3,1,H
Leeds,Aston Villa,1,1,D
Liverpool,Sunderland,1,0,H
Middlesbrough,Ipswich,0,0,D
Aston Villa,Leicester,0,2,A
Blackburn,Middlesbrough,0,1,A
Charlton,Newcastle,1,1,D
Derby,Liverpool,0,1,A
Ipswich,Arsenal,0,2,A
Man United,Chelsea,0,3,A
Sunderland,West Ham,1,0,H
Everton,Southampton,2,0,H
Fulham,Leeds,0,0,D
Tottenham,Bolton,3,2,H
Chelsea,Charlton,0,1,A
West Ham,Aston Villa,1,1,D
