HomeTeam,AwayTeam,FTHG,FTAG,FTR
Arsenal,West Brom,1,0,H
Bolton,Stoke,3,1,H
Everton,Blackburn,2,3,A
Hull,Fulham,2,1,H
Middlesbrough,Tottenham,2,1,H
Sunderland,Liverpool,0,1,A
West Ham,Wigan,2,1,H
Aston Villa,Man City,4,2,H
Chelsea,Portsmouth,4,0,H
Man United,Newcastle,1,1,D
Blackburn,Hull,1,1,D
Fulham,Arsenal,1,0,H
Liverpool,Middlesbrough,2,1,H
Newcastle,Bolton,1,0,H
Stoke,Aston Villa,3,2,H
Tottenham,Sunderland,1,2,A
West Brom,Everton,1,2,A
Man City,West Ham,3,0,H
Wigan,Chelsea,0,1,A
Portsmouth,Man United,0,1,A
Arsenal,Newcastle,3,0,H
Bolton,West Brom,0,0,D
Everton,Portsmouth,0,3,A
Hull,Wigan,0,5,A
Middlesbrough,Stoke,2,1,H
West Ham,Blackburn,4,1,H
Aston Villa,Liverpool,0,0,D
Chelsea,Tottenham,1,1,D
Sunderland,Man City,0,3,A
Blackburn,Arsenal,0,4,A
Fulham,Bolton,2,1,H
Liverpool,Man United,2,1,H
Man City,Chelsea,1,3,A
Newcastle,Hull,1,2,A
Portsmouth,Middlesbrough,2,1,H
West Brom,West Ham,3,2,H
Wigan,Sunderland,1,1,D
Stoke,Everton,2,3,A
Tottenham,Aston Villa,1,2,A
Blackburn,Fulham,1,0,H
Bolton,Arsenal,1,3,A
Liverpool,Stoke,0,0,D
Sunderland,Middlesbrough,2,0,H
West Ham,Newcastle,3,1,H
Chelsea,Man United,1,1,D
Hull,Everton,2,2,D
Man City,Portsmouth,6,0,H
Tottenham,Wigan,0,0,D
West Brom,Aston Villa,1,2,A
Arsenal,Hull,1,2,A
Aston Villa,Sunderland,2,1,H
Everton,Liverpool,0,2,A
Fulham,West Ham,1,2,A
Man United,Bolton,2,0,H
Middlesbrough,West Brom,0,1,A
Newcastle,Blackburn,1,2,A
Stoke,Chelsea,0,2,A
Portsmouth,Tottenham,2,0,H
Wigan,Man City,2,1,H
Blackburn,Man United,0,2,A
Sunderland,Arsenal,1,1,D
West Brom,Fulham,1,0,H
Wigan,Middlesbrough,0,1,A
Chelsea,Aston Villa,2,0,H
Everton,Newcastle,2,2,D
Man City,Liverpool,2,3,A
Portsmouth,Stoke,2,1,H
Tottenham,Hull,0,1,A
West Ham,Bolton,1,3,A
Arsenal,Everton,3,1,H
Aston Villa,Portsmouth,0,0,D
Bolton,Blackburn,0,0,D
Fulham,Sunderland,0,0,D
Liverpool,Wigan,3,2,H
Man United,West Brom,4,0,H
Middlesbrough,Chelsea,0,5,A
Hull,West Ham,1,0,H
Stoke,Tottenham,2,1,H
Newcastle,Man City,2,2,D
Blackburn,Middlesbrough,1,1,D
Everton,Man United,1,1,D
Sunderland,Newcastle,2,1,H
West Brom,Hull,0,3,A
