HomeTeam,AwayTeam,FTHG,FTAG,FTR,TotalHomeMatches,TotalAwayMatches,TotalHomeGoals,TotalAwayGoals,TotalHomeConceded,TotalAwayConceded,TotalHomePoints,TotalAwayPoints,AverageHomeGoalsScored,AverageAwayGoalsScored,AverageHomeGoalsConceded,AverageAwayGoalsConceded,AverageHomePoints,AverageAwayPoints,AverageHomeGoalsScoredLast6,AverageAwayGoalsScoredLast6,AverageHomeGoalsConcededLast6,AverageAwayGoalsConcededLast6,AverageHomePointsLast6,AverageAwayPointsLast6,HistoricalAvgHomePoints,HistoricalAvgAwayPoints,IsItEliteHome,IsItEliteAway
Arsenal,Sunderland,3,1,H,14,14,24,16,12,26,27,12,1.7142857142857142,1.1428571428571428,0.8571428571428571,1.8571428571428572,1.9285714285714286,0.8571428571428571,1.8333333333333333,1.3333333333333333,0.8333333333333334,1.3333333333333333,1.8333333333333333,1.5,73.76190476190476,39.642857142857146,1,0
Chelsea,Bournemouth,0,1,A,14,14,17,17,23,30,15,10,1.2142857142857142,1.2142857142857142,1.6428571428571428,2.142857142857143,1.0714285714285714,0.7142857142857143,0.8333333333333334,1.1666666666666667,1.0,3.0,1.1666666666666667,0.3333333333333333,73.28571428571429,0.0,1,0
Man United,West Ham,0,0,D,14,14,20,25,10,21,28,22,1.4285714285714286,1.7857142857142858,0.7142857142857143,1.5,2.0,1.5714285714285714,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,81.42857142857143,46.94444444444444,1,0
Southampton,Aston Villa,1,1,D,14,14,20,12,17,27,20,5,1.4285714285714286,0.8571428571428571,1.2142857142857142,1.9285714285714286,1.4285714285714286,0.35714285714285715,1.1666666666666667,0.6666666666666666,1.1666666666666667,2.3333333333333335,1.3333333333333333,0.16666666666666666,46.5,51.19047619047619,0,0
Stoke,Man City,2,0,H,14,14,11,30,14,14,19,29,0.7857142857142857,2.142857142857143,1.0,1.0,1.3571428571428572,2.0714285714285716,0.5,1.8333333333333333,0.6666666666666666,1.1666666666666667,1.6666666666666667,1.8333333333333333,47.0,57.8125,0,1
Swansea,Leicester,0,3,A,14,14,14,29,19,21,14,29,1.0,2.0714285714285716,1.3571428571428572,1.5,1.0,2.0714285714285716,0.6666666666666666,2.0,1.5,1.0,0.6666666666666666,2.3333333333333335,47.75,42.55555555555556,0,0
Watford,Norwich,2,0,H,14,14,15,17,16,25,19,13,1.0714285714285714,1.2142857142857142,1.1428571428571428,1.7857142857142858,1.3571428571428572,0.9285714285714286,1.5,0.8333333333333334,1.5,1.8333333333333333,1.5,0.6666666666666666,26.0,40.0,0,0
West Brom,Tottenham,1,1,D,14,14,13,24,18,11,18,25,0.9285714285714286,1.7142857142857142,1.2857142857142858,0.7857142857142857,1.2857142857142858,1.7857142857142858,1.1666666666666667,2.1666666666666665,1.1666666666666667,0.6666666666666666,1.6666666666666667,2.0,38.333333333333336,56.523809523809526,0,1
Newcastle,Liverpool,2,0,H,14,14,14,18,30,15,10,23,1.0,1.2857142857142858,2.142857142857143,1.0714285714285714,0.7142857142857143,1.6428571428571428,1.3333333333333333,1.6666666666666667,2.1666666666666665,0.8333333333333334,1.1666666666666667,1.8333333333333333,53.45,67.71428571428571,0,1
Everton,Crystal Palace,1,1,D,14,14,27,19,19,14,21,22,1.9285714285714286,1.3571428571428572,1.3571428571428572,1.0,1.5,1.5714285714285714,2.5,1.3333333333333333,1.8333333333333333,1.1666666666666667,1.3333333333333333,1.1666666666666667,53.285714285714285,40.8,0,0
